Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR
p08,Sleep_Hours,sleep_quality,,,6,No,,False,False
p08,Sleep_Hours,stress,,,6,No,,False,False
p08,Sleep_Duration_Score,fatigue,,,1,No,,False,False
p08,Sleep_Duration_Score,mood,,,1,No,,False,False
p08,Sleep_Duration_Score,readiness,,,1,No,,False,False
p08,Sleep_Duration_Score,sleep_quality,,,1,No,,False,False
p08,Sleep_Duration_Score,stress,,,1,No,,False,False
p08,Deep_Sleep_Minutes,fatigue,,,4,No,,False,False
p08,Deep_Sleep_Minutes,mood,,,4,No,,False,False
p08,Deep_Sleep_Minutes,readiness,,,4,No,,False,False
p08,Deep_Sleep_Minutes,sleep_quality,,,4,No,,False,False
p08,Deep_Sleep_Minutes,stress,,,4,No,,False,False
p08,Sleep_Restlessness,fatigue,,,3,No,,False,False
p08,Sleep_Restlessness,mood,,,3,No,,False,False
p08,Sleep_Restlessness,readiness,,,3,No,,False,False
p08,Sleep_Restlessness,sleep_quality,,,3,No,,False,False
p08,Sleep_Restlessness,stress,,,3,No,,False,False
p08,Sleep_Composition,fatigue,,,5,No,,False,False
p08,Sleep_Composition,mood,,,5,No,,False,False
p08,Sleep_Composition,readiness,,,5,No,,False,False
p08,Sleep_Composition,sleep_quality,,,5,No,,False,False
p08,Sleep_Composition,stress,,,5,No,,False,False
p08,Sleep_Revitalization,fatigue,,,2,No,,False,False
p08,Sleep_Revitalization,mood,,,2,No,,False,False
p08,Sleep_Revitalization,readiness,,,2,No,,False,False
p08,Sleep_Revitalization,sleep_quality,,,2,No,,False,False
p08,Sleep_Revitalization,stress,,,2,No,,False,False
p08,Sleep_Score,fatigue,,,3,No,,False,False
p08,Sleep_Score,mood,,,3,No,,False,False
p08,Sleep_Score,readiness,,,3,No,,False,False
p08,Sleep_Score,sleep_quality,,,3,No,,False,False
p08,Sleep_Score,stress,,,3,No,,False,False
p09,Steps,fatigue,,,3,No,,False,False
p09,Steps,mood,,,3,No,,False,False
p09,Steps,readiness,,,3,No,,False,False
p09,Steps,sleep_quality,,,3,No,,False,False
