Participant,Variable,Status,First_10_Days_All_Missing,Total_Missing,Total_Rows,Missing_Percent
p13_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,37.0,68,54.41176470588235
p14_daily_merged,Steps,Available,False,4.0,124,3.225806451612903
p14_daily_merged,Exercise_Count,Available,False,0.0,124,0.0
p14_daily_merged,Exercise_Duration,Available,False,0.0,124,0.0
p14_daily_merged,Exercise_Distance,Available,False,0.0,124,0.0
p14_daily_merged,Exercise_Calories,Available,False,0.0,124,0.0
p14_daily_merged,Exercise_Avg_HR,Available,False,19.0,124,15.32258064516129
p14_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,17.0,124,13.709677419354838
p14_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,22.0,124,17.741935483870968
p14_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,17.0,124,13.709677419354838
p14_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,22.0,124,17.741935483870968
p14_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,22.0,124,17.741935483870968
p14_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,22.0,124,17.741935483870968
p14_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,22.0,124,17.741935483870968
p15_daily_merged,Steps,Available,False,0.0,93,0.0
p15_daily_merged,Exercise_Count,Available,False,0.0,93,0.0
p15_daily_merged,Exercise_Duration,Available,False,0.0,93,0.0
p15_daily_merged,Exercise_Distance,Available,False,0.0,93,0.0
p15_daily_merged,Exercise_Calories,Available,False,0.0,93,0.0
p15_daily_merged,Exercise_Avg_HR,Available,False,4.0,93,4.301075268817205
p15_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,0.0,93,0.0
p15_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,0.0,93,0.0
p15_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,0.0,93,0.0
p15_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,0.0,93,0.0
p15_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,0.0,93,0.0
p15_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,0.0,93,0.0
p15_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,0.0,93,0.0
p16_daily_merged,Steps,Available,False,0.0,82,0.0
p16_daily_merged,Exercise_Count,Available,False,0.0,82,0.0
p16_daily_merged,Exercise_Duration,Available,False,0.0,82,0.0
p16_daily_merged,Exercise_Distance,Missing_Column,False,,82,
p16_daily_merged,Exercise_Calories,Available,False,0.0,82,0.0
